"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)","Category","Name","Number","Min","Max","Unit","Type","Operation"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"CAYUGA","011",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED","11","29.3",NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"CAYUGA","011",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES NON-BEARING","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,"BEARING","ACRES NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"CAYUGA","011",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","11","26.9",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"CAYUGA","011",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","11","27.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"CAYUGA","011",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","3","30.5",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"CHENANGO","017",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","2","30.0",NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"CHENANGO","017",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED","3","29.3",NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"CHENANGO","017",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES NON-BEARING","TOTAL","NOT SPECIFIED","1","33.8",NA,NA,NA,NA,NA,NA,"BEARING","ACRES NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"CHENANGO","017",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","4","26.9",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"CHENANGO","017",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","4","27.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"CHENANGO","017",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","4","30.5",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"CORTLAND","023",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"CORTLAND","023",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED","3","29.3",NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"CORTLAND","023",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES NON-BEARING","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,"BEARING","ACRES NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"CORTLAND","023",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","3","(L)",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"CORTLAND","023",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","5","27.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"CORTLAND","023",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","2","30.5",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"HERKIMER","043",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"HERKIMER","043",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"HERKIMER","043",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","2","(L)",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"HERKIMER","043",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","2","(L)",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"MADISON","053",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"MADISON","053",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED","16","29.3",NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"MADISON","053",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES NON-BEARING","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,"BEARING","ACRES NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"MADISON","053",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","11","26.9",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"MADISON","053",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","11","27.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"MADISON","053",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","2","30.5",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"ONEIDA","065",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","12","30.0",NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"ONEIDA","065",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED","14","29.3",NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"ONEIDA","065",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES NON-BEARING","TOTAL","NOT SPECIFIED","2","33.8",NA,NA,NA,NA,NA,NA,"BEARING","ACRES NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"ONEIDA","065",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","12","26.9",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"ONEIDA","065",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","12","27.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"ONEIDA","065",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","3","30.5",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"ONONDAGA","067",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","56","30.0",NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"ONONDAGA","067",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED","85","29.3",NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"ONONDAGA","067",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES NON-BEARING","TOTAL","NOT SPECIFIED","29","33.8",NA,NA,NA,NA,NA,NA,"BEARING","ACRES NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"ONONDAGA","067",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","6","26.9",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"ONONDAGA","067",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","6","27.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"ONONDAGA","067",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","4","30.5",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"OSWEGO","075",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","9","30.0",NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"OSWEGO","075",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED","9","29.3",NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"OSWEGO","075",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES NON-BEARING","TOTAL","NOT SPECIFIED","1","33.8",NA,NA,NA,NA,NA,NA,"BEARING","ACRES NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"OSWEGO","075",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","8","26.9",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"OSWEGO","075",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","10","27.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"OSWEGO","075",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","3","30.5",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"OTSEGO","077",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","11","30.0",NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"OTSEGO","077",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED","17","29.3",NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"OTSEGO","077",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES NON-BEARING","TOTAL","NOT SPECIFIED","6","33.8",NA,NA,NA,NA,NA,NA,"BEARING","ACRES NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"OTSEGO","077",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","4","26.9",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"OTSEGO","077",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","6","27.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","CENTRAL",50,"OTSEGO","077",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","4","30.5",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"ALBANY","001",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","14","30.0",NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"ALBANY","001",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED","16","29.3",NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"ALBANY","001",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES NON-BEARING","TOTAL","NOT SPECIFIED","3","33.8",NA,NA,NA,NA,NA,NA,"BEARING","ACRES NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"ALBANY","001",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","12","26.9",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"ALBANY","001",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","12","27.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"ALBANY","001",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","8","30.5",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"FULTON","035",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"FULTON","035",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"FULTON","035",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES NON-BEARING","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,"BEARING","ACRES NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"FULTON","035",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","1","(L)",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"FULTON","035",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","1","(L)",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"FULTON","035",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","1","(L)",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"MONTGOMERY","057",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"MONTGOMERY","057",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED","6","29.3",NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"MONTGOMERY","057",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES NON-BEARING","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,"BEARING","ACRES NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"MONTGOMERY","057",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","3","26.9",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"MONTGOMERY","057",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","5","27.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"MONTGOMERY","057",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","3","30.5",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"RENSSELAER","083",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"RENSSELAER","083",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED","13","29.3",NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"RENSSELAER","083",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES NON-BEARING","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,"BEARING","ACRES NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"RENSSELAER","083",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","6","26.9",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"RENSSELAER","083",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","6","27.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"RENSSELAER","083",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","2","30.5",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"SARATOGA","091",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","29","30.0",NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"SARATOGA","091",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED","38","29.3",NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"SARATOGA","091",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES NON-BEARING","TOTAL","NOT SPECIFIED","9","33.8",NA,NA,NA,NA,NA,NA,"BEARING","ACRES NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"SARATOGA","091",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","10","26.9",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"SARATOGA","091",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","11","27.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"SARATOGA","091",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","3","30.5",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"SCHENECTADY","093",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"SCHENECTADY","093",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"SCHENECTADY","093",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES NON-BEARING","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,"BEARING","ACRES NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","NEW YORK","36","EASTERN",60,"SCHENECTADY","093",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","1","(L)",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
